Timestamp,User,Action,IP,User-Agent,Status
2025-03-4 21:59:13,user_8,Password Reset,192.168.1.243,Edge/91.0,Success
2025-03-4 5:36:38,user_39,Password Reset,192.168.1.164,Safari/14.1,Success
2025-03-5 1:39:56,user_27,Unauthorized Access,192.168.1.35,Safari/14.1,Success
2025-03-5 0:42:46,user_49,Data Downloaded,192.168.1.107,Edge/91.0,Success
2025-03-4 9:21:10,bob.k,Login Attempt,192.168.1.172,Safari/14.1,Success
2025-03-4 6:37:3,user_10,Unauthorized Access,192.168.1.157,Firefox/89.0,Failed
2025-03-4 3:20:33,user_16,Unauthorized Access,192.168.1.170,Edge/91.0,Success
2025-03-3 7:38:7,frank.t,Suspicious Activity,192.168.1.5,Safari/14.1,Success
2025-03-3 5:37:25,user_27,Suspicious Activity,192.168.1.247,Safari/14.1,Success
2025-03-4 5:29:40,user_36,Suspicious Activity,192.168.1.184,Mozilla/5.0,Failed
2025-03-1 23:11:19,user_5,Login Attempt,192.168.1.166,Firefox/89.0,Success
2025-03-2 22:7:18,user_35,Unauthorized Access,192.168.1.110,Edge/91.0,Success
2025-03-1 19:44:24,user_4,Password Reset,192.168.1.194,Mozilla/5.0,Success
2025-03-3 17:45:38,user_11,Password Reset,192.168.1.50,Edge/91.0,Success
2025-03-1 18:39:23,user_28,Login Attempt,192.168.1.2,Firefox/89.0,Success
2025-03-3 17:18:7,user_41,Password Reset,192.168.1.198,Chrome/90.0,Success
2025-03-1 17:14:0,user_40,Suspicious Activity,192.168.1.189,Chrome/90.0,Failed
2025-03-5 21:45:28,user_29,Login Attempt,192.168.1.29,Firefox/89.0,Failed
2025-03-3 19:42:23,user_50,Login Attempt,192.168.1.30,Chrome/90.0,Success
2025-03-2 3:11:46,user_28,Password Reset,192.168.1.126,Firefox/89.0,Success
2025-03-3 22:10:56,user_5,Password Reset,192.168.1.146,Edge/91.0,Success
2025-03-5 9:59:41,user_36,Suspicious Activity,192.168.1.239,Mozilla/5.0,Success
2025-03-4 16:43:13,david.s,File Accessed,192.168.1.103,Edge/91.0,Success
2025-03-5 9:28:1,user_22,Password Reset,192.168.1.67,Firefox/89.0,Success
2025-03-3 7:48:43,user_33,Password Reset,192.168.1.40,Chrome/90.0,Failed
2025-03-5 1:26:18,user_3,File Accessed,192.168.1.37,Safari/14.1,Success
2025-03-4 11:47:49,user_23,Unauthorized Access,192.168.1.25,Firefox/89.0,Success
2025-03-2 19:56:9,user_42,Data Downloaded,192.168.1.208,Firefox/89.0,Failed
2025-03-1 5:32:9,user_16,Login Attempt,192.168.1.19,Safari/14.1,Success
2025-03-1 12:59:23,user_45,Data Downloaded,192.168.1.7,Edge/91.0,Failed
2025-03-5 0:9:21,user_6,Login Attempt,192.168.1.121,Mozilla/5.0,Success
2025-03-2 13:26:34,user_27,Password Reset,192.168.1.23,Safari/14.1,Success
2025-03-5 11:8:59,user_45,Unauthorized Access,192.168.1.149,Firefox/89.0,Success
2025-03-2 22:52:35,user_24,Unauthorized Access,192.168.1.50,Firefox/89.0,Success
2025-03-1 12:39:4,user_34,Data Downloaded,192.168.1.35,Safari/14.1,Failed
2025-03-2 13:53:35,alice.w,Data Downloaded,192.168.1.155,Chrome/90.0,Success
2025-03-4 23:34:56,user_24,Suspicious Activity,192.168.1.127,Mozilla/5.0,Success
2025-03-1 9:27:42,user_50,Password Reset,192.168.1.102,Mozilla/5.0,Success
2025-03-4 13:56:3,user_13,Login Attempt,192.168.1.108,Chrome/90.0,Success
2025-03-1 22:1:48,user_20,File Accessed,192.168.1.217,Chrome/90.0,Success
2025-03-2 0:16:3,user_47,Login Attempt,192.168.1.126,Firefox/89.0,Success
2025-03-4 9:33:51,user_25,Suspicious Activity,192.168.1.68,Mozilla/5.0,Success
2025-03-1 22:19:7,user_48,Password Reset,192.168.1.36,Chrome/90.0,Success
2025-03-2 12:4:17,user_24,File Accessed,192.168.1.96,Mozilla/5.0,Success
2025-03-2 6:15:9,user_23,Password Reset,192.168.1.67,Chrome/90.0,Success
2025-03-2 15:22:38,user_47,Login Attempt,192.168.1.101,Safari/14.1,Success
2025-03-4 17:39:28,user_14,Password Reset,192.168.1.1,Safari/14.1,Success
2025-03-5 13:22:18,user_42,Unauthorized Access,192.168.1.251,Firefox/89.0,Success
2025-03-2 19:56:24,user_23,Unauthorized Access,192.168.1.172,Edge/91.0,Failed
2025-03-3 16:6:42,user_13,Data Downloaded,192.168.1.73,Safari/14.1,Success
2025-03-4 11:13:15,user_28,Unauthorized Access,192.168.1.37,Safari/14.1,Failed
2025-03-5 15:20:59,user_1,Unauthorized Access,192.168.1.244,Mozilla/5.0,Success
2025-03-2 13:21:21,user_42,Login Attempt,192.168.1.133,Safari/14.1,Success
2025-03-3 21:26:21,alice.w,Password Reset,192.168.1.82,Edge/91.0,Success
2025-03-2 18:7:36,user_5,File Accessed,192.168.1.71,Firefox/89.0,Success
2025-03-2 12:4:2,user_26,Unauthorized Access,192.168.1.220,Chrome/90.0,Success
2025-03-2 1:23:52,alice.w,File Accessed,192.168.1.125,Edge/91.0,Failed
2025-03-3 12:47:30,user_3,Data Downloaded,192.168.1.133,Edge/91.0,Failed
2025-03-1 11:58:56,user_8,Password Reset,192.168.1.58,Mozilla/5.0,Success
2025-03-3 9:1:19,user_30,File Accessed,192.168.1.196,Mozilla/5.0,Success
2025-03-3 14:33:59,user_25,File Accessed,192.168.1.212,Chrome/90.0,Success
2025-03-4 13:1:45,user_18,Data Downloaded,192.168.1.141,Mozilla/5.0,Success
2025-03-5 15:24:55,user_2,Login Attempt,192.168.1.98,Chrome/90.0,Success
2025-03-2 7:32:46,user_48,Login Attempt,192.168.1.234,Firefox/89.0,Failed
2025-03-3 15:4:14,user_11,Login Attempt,192.168.1.81,Chrome/90.0,Success
2025-03-3 3:51:3,user_49,Data Downloaded,192.168.1.161,Safari/14.1,Success
2025-03-5 9:1:20,user_26,Unauthorized Access,192.168.1.106,Edge/91.0,Success
2025-03-3 15:16:4,user_31,Data Downloaded,192.168.1.79,Chrome/90.0,Success
2025-03-2 23:51:6,user_6,Unauthorized Access,192.168.1.29,Firefox/89.0,Success
2025-03-2 15:49:13,eva.r,File Accessed,192.168.1.6,Edge/91.0,Success
